Disease,Eat,Avoid,Calories,Protein_g,Carbs_g,Fats_g
Diabetes Type 2,"Oats, Barley, Lentils, Leafy Greens, Nuts, Greek Yogurt, Broccoli, Quinoa, Chia Seeds, Berries","White Bread, Soda, Pastries, Fried Foods, Processed Meats",1800,110,180,60
Hypertension,"Bananas, Spinach, Sweet Potatoes, Avocados, Beets, Oats, Skim Milk, White Beans, Salmon, Dark Chocolate","Salted Snacks, Pickles, Canned Soups, Processed Meats, Fast Food",2000,100,220,65
Kidney Disease,"Cauliflower, Blueberries, Sea Bass, Garlic, Cabbage, Bell Peppers, Apples, Olive Oil, Pineapple, White Rice","Bananas, Oranges, Dairy, Whole Grains, Avocados",1900,70,240,50
Celiac Disease,"Quinoa, Brown Rice, Corn, Sweet Potatoes, Eggs, Chicken, Yogurt, Lentils, Carrots, Apples","Wheat, Barley, Rye, Malt, Pasta",2100,120,230,70
PCOS,"Leafy Greens, Berries, Almonds, Eggs, Avocados, Whole Grains, Tomatoes, Chicken Breast, Greek Yogurt, Walnuts","Sugary Foods, White Bread, Pasta, Fried Food, Red Meat",2000,130,180,60
Obesity,"Leafy Greens, Lean Meat, Berries, Whole Grains, Eggs, Greek Yogurt, Avocados, Apples, Broccoli, Sweet Potatoes","Sugary Drinks, Fast Food, Candy, Refined Grains, Soda",1600,120,150,50
Anemia,"Spinach, Red Meat, Lentils, Tofu, Fortified Cereals, Pumpkin Seeds, Eggs, Quinoa, Broccoli, Dark Chocolate","Tea, Coffee, Dairy, Calcium-rich foods with iron, Bran",2200,100,250,60
Heart Disease,"Salmon, Oats, Berries, Nuts, Leafy Greens, Olive Oil, Avocados, Whole Grains, Beans, Tofu","Trans Fats, Processed Meats, Fried Foods, Excess Salt, Sugary Snacks",2000,100,200,60
Asthma,"Apples, Bananas, Spinach, Carrots, Tomatoes, Salmon, Flaxseeds, Broccoli, Avocados, Whole Grains","Sulfites, Processed Foods, Artificial Additives, Fried Food, Alcohol",2100,90,240,65
GERD,"Oatmeal, Ginger, Bananas, Melons, Green Veggies, Brown Rice, Egg Whites, Turkey, Cucumber, Herbal Tea","Caffeine, Citrus, Chocolate, Spicy Foods, Fried Foods",2000,100,230,55
